date,country,vpn_friendly,internet_freedom_index,remote_work_adoption,employment_rate
2023-02-08,US,0.9,85.0,45,95.0
2023-02-09,US,0.9,85.0,45,95.0
2023-02-10,US,0.9,85.0,45,95.0
2023-02-11,US,0.9,85.0,45,95.0
2023-02-12,US,0.9,85.0,45,95.0
2023-02-13,US,0.9,85.0,45,95.0
2023-02-14,US,0.9,85.0,45,95.0
2023-02-15,US,0.9,85.0,45,95.0
2023-02-16,US,0.9,85.0,45,95.0
2023-02-17,US,0.9,85.0,45,95.0
2023-02-18,US,0.9,85.0,45,95.0
2023-02-19,US,0.9,85.0,45,95.0
2023-02-20,US,0.9,85.0,45,95.0
2023-02-21,US,0.9,85.0,45,95.0
2023-02-22,US,0.9,85.0,45,95.0
2023-02-23,US,0.9,85.0,45,95.0
2023-02-24,US,0.9,85.0,45,95.0
2023-02-25,US,0.9,85.0,45,95.0
2023-02-26,US,0.9,85.0,45,95.0
2023-02-27,US,0.9,85.0,45,95.0
2023-02-28,US,0.9,85.0,45,95.0
2023-03-01,US,0.9,85.0,45,95.0
2023-03-02,US,0.9,85.0,45,95.0
2023-03-03,US,0.9,85.0,45,95.0
2023-03-04,US,0.9,85.0,45,95.0
2023-03-05,US,0.9,85.0,45,95.0
2023-03-06,US,0.9,85.0,45,95.0
2023-03-07,US,0.9,85.0,45,95.0
2023-03-08,US,0.9,85.0,45,95.0
2023-03-09,US,0.9,85.0,45,95.0
2023-03-10,US,0.9,85.0,45,95.0
2023-03-11,US,0.9,85.0,45,95.0
2023-03-12,US,0.9,85.0,45,95.0
2023-03-13,US,0.9,85.0,45,95.0
2023-03-14,US,0.9,85.0,45,95.0
2023-03-15,US,0.9,85.0,45,95.0
2023-03-16,US,0.9,85.0,45,95.0
2023-03-17,US,0.9,85.0,45,95.0
2023-03-18,US,0.9,85.0,45,95.0
2023-03-19,US,0.9,85.0,45,95.0
2023-03-20,US,0.9,85.0,45,95.0
2023-03-21,US,0.9,85.0,45,95.0
2023-03-22,US,0.9,85.0,45,95.0
2023-03-23,US,0.9,85.0,45,95.0
2023-03-24,US,0.9,85.0,45,95.0
2023-03-25,US,0.9,85.0,45,95.0
2023-03-26,US,0.9,85.0,45,95.0
2023-03-27,US,0.9,85.0,45,95.0
2023-03-28,US,0.9,85.0,45,95.0
2023-03-29,US,0.9,85.0,45,95.0
2023-03-30,US,0.9,85.0,45,95.0
2023-03-31,US,0.9,85.0,45,95.0
2023-04-01,US,0.9,85.0,45,95.0
2023-04-02,US,0.9,85.0,45,95.0
2023-04-03,US,0.9,85.0,45,95.0
2023-04-04,US,0.9,85.0,45,95.0
2023-04-05,US,0.9,85.0,45,95.0
2023-04-06,US,0.9,85.0,45,95.0
2023-04-07,US,0.9,85.0,45,95.0
2023-04-08,US,0.9,85.0,45,95.0
2023-04-09,US,0.9,85.0,45,95.0
2023-04-10,US,0.9,85.0,45,95.0
2023-04-11,US,0.9,85.0,45,95.0
2023-04-12,US,0.9,85.0,45,95.0
2023-04-13,US,0.9,85.0,45,95.0
2023-04-14,US,0.9,85.0,45,95.0
2023-04-15,US,0.9,85.0,45,95.0
2023-04-16,US,0.9,85.0,45,95.0
2023-04-17,US,0.9,85.0,45,95.0
2023-04-18,US,0.9,85.0,45,95.0
2023-04-19,US,0.9,85.0,45,95.0
2023-04-20,US,0.9,85.0,45,95.0
2023-04-21,US,0.9,85.0,45,95.0
2023-04-22,US,0.9,85.0,45,95.0
2023-04-23,US,0.9,85.0,45,95.0
2023-04-24,US,0.9,85.0,45,95.0
2023-04-25,US,0.9,85.0,45,95.0
2023-04-26,US,0.9,85.0,45,95.0
2023-04-27,US,0.9,85.0,45,95.0
2023-04-28,US,0.9,85.0,45,95.0
2023-04-29,US,0.9,85.0,45,95.0
2023-04-30,US,0.9,85.0,45,95.0
2023-05-01,US,0.9,85.0,45,95.0
2023-05-02,US,0.9,85.0,45,95.0
2023-05-03,US,0.9,85.0,45,95.0
2023-05-04,US,0.9,85.0,45,95.0
2023-05-05,US,0.9,85.0,45,95.0
2023-05-06,US,0.9,85.0,45,95.0
2023-05-07,US,0.9,85.0,45,95.0
2023-05-08,US,0.9,85.0,45,95.0
2023-05-09,US,0.9,85.0,45,95.0
2023-05-10,US,0.9,85.0,45,95.0
2023-05-11,US,0.9,85.0,45,95.0
2023-05-12,US,0.9,85.0,45,95.0
2023-05-13,US,0.9,85.0,45,95.0
2023-05-14,US,0.9,85.0,45,95.0
2023-05-15,US,0.9,85.0,45,95.0
2023-05-16,US,0.9,85.0,45,95.0
2023-05-17,US,0.9,85.0,45,95.0
2023-05-18,US,0.9,85.0,45,95.0
2023-05-19,US,0.9,85.0,45,95.0
2023-05-20,US,0.9,85.0,45,95.0
2023-05-21,US,0.9,85.0,45,95.0
